acceXmin,acceXmax,acceXmean,acceXstd,acceYmin,acceYmax,acceYmean,acceYstd,acceZmin,acceZmax,acceZmean,acceZstd,gXmin,gXmax,gXmean,gXstd,gYmin,gYmax,gYmean,gYstd,gZmin,gZmax,gZmean,gZstd,label
0.94,1.1,1.0149,0.026390763,-0.48,-0.25,-0.37295,0.03942804,10.15,10.62,10.3581,0.064069607,-0.17,-0.02,-0.1063,0.023173152,0.01,0.1,0.0588,0.011454959,-0.02,0,-0.0108,0.003524501,1
0.95,1.09,1.0126,0.02408611,-0.45,-0.2,-0.3395,0.038131615,10.12,10.67,10.35475,0.064612782,-0.17,-0.02,-0.10795,0.02280125,0.01,0.11,0.05865,0.011848181,-0.02,0,-0.01095,0.003263549,1
0.92,1.07,1.0031,0.024461846,-0.41,-0.21,-0.326,0.035866867,10.15,10.65,10.3608,0.065242955,-0.18,-0.03,-0.1063,0.022999017,0.02,0.1,0.05825,0.011709958,-0.02,0,-0.01095,0.003696732,1
0.71,1.07,0.90765,0.074110996,-0.92,-0.22,-0.50015,0.158248826,10.13,10.64,10.3491,0.067631799,-0.28,0.04,-0.11405,0.046883771,0.02,0.1,0.06035,0.014848566,-0.06,0,-0.0127,0.007811215,1
0.8,0.95,0.89045,0.023474513,-0.61,-0.36,-0.48715,0.040479258,10.19,10.66,10.35445,0.055498631,-0.18,-0.03,-0.106,0.019413511,0.03,0.11,0.0585,0.011723361,-0.02,0,-0.01095,0.003696732,1
0.81,0.97,0.90325,0.023034549,-0.57,-0.37,-0.47465,0.032714349,10.14,10.62,10.35485,0.057318448,-0.18,-0.02,-0.10695,0.020130167,0.02,0.1,0.05905,0.01127979,-0.02,0,-0.01075,0.0036059,1
0.84,0.99,0.91325,0.02950066,-0.56,-0.35,-0.46525,0.036642199,10.17,10.66,10.35465,0.062065596,-0.19,-0.03,-0.10575,0.021951008,0.01,0.1,0.0587,0.011917219,-0.02,0,-0.01145,0.004637351,1
0.72,0.88,0.8073,0.029902858,-1.26,-1.05,-1.1656,0.037344519,10.08,10.48,10.29445,0.055661373,-0.2,-0.01,-0.1079,0.022741501,0.03,0.1,0.05905,0.010963507,-0.02,0,-0.0111,0.00467969,1
0.77,1.01,0.90845,0.03668551,-0.5,-0.14,-0.3646,0.085147463,10.13,10.69,10.361,0.060483812,-0.18,-0.03,-0.1031,0.022781241,0.02,0.1,0.05945,0.012569305,-0.04,0,-0.0125,0.005281046,1
0.85,0.99,0.9204,0.022702799,-0.31,-0.09,-0.1973,0.040483386,10.1,10.65,10.36685,0.066774785,-0.18,-0.03,-0.10575,0.022269196,0.02,0.11,0.05945,0.012529262,-0.02,0,-0.01125,0.0036059,1
0.86,0.99,0.92595,0.023146844,-0.28,0,-0.1119,0.045813583,10.1,10.73,10.3669,0.066931225,-0.18,0,-0.10605,0.022637575,0.02,0.12,0.0587,0.012693131,-0.02,-0.01,-0.01105,0.003073227,1
0.36,0.98,0.6221,0.190179999,-1.2,-0.05,-0.70345,0.345559916,10.13,10.56,10.3377,0.072595181,-0.34,-0.02,-0.11475,0.050989579,0.02,0.15,0.0636,0.021987662,-0.02,0,-0.01085,0.005089895,1
0.46,0.63,0.5371,0.026798897,-0.86,-0.59,-0.72515,0.054634257,10.1,10.63,10.34385,0.056884592,-0.17,-0.01,-0.1042,0.021108954,0.02,0.1,0.0585,0.012102992,-0.02,0,-0.01125,0.004125847,1
0.46,0.6,0.532,0.027782356,-0.84,-0.59,-0.7204,0.041695715,10.07,10.62,10.34475,0.06092204,-0.17,-0.01,-0.1086,0.021385197,0.03,0.11,0.05875,0.012316492,-0.02,0,-0.0105,0.003717404,1
0.3,0.58,0.4796,0.042282134,-1.11,-0.71,-0.8249,0.079255265,10.02,10.57,10.33705,0.067106736,-0.31,0.05,-0.1108,0.05129832,-0.02,0.18,0.06095,0.025883339,-0.03,0,-0.01145,0.005150743,1
